Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-3.91,-3.12,14.59,off,off,-11.10,14.65,0.22,on,14.70,99,1.000,0.00,0.00,0.00,1.0,0,21.00,0.77,77,88,6.89,69.03,1.20,3.54,91,1804,0.00,7.5,0.00,0
0.003,-3.91,-3.12,14.58,off,off,-11.14,14.65,0.22,on,14.70,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,88,6.89,69.02,1.20,3.51,91,1803,0.00,7.5,0.00,0
0.016,-3.91,-3.12,14.58,off,off,-11.12,14.65,0.22,on,14.70,99,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,88,6.89,69.02,1.20,3.52,91,1802,0.00,7.5,0.00,0
0.019,-3.91,-3.12,14.60,off,off,-11.09,14.65,0.22,on,14.70,100,1.000,0.00,0.00,0.00,1.0,0,21.50,0.77,77,88,6.90,69.03,1.18,3.56,91,1801,0.00,7.5,0.00,0
0.022,-3.91,-3.12,14.60,off,off,-11.09,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.90,69.03,1.20,3.51,91,1796,0.00,7.5,0.00,0
0.068,-3.91,-3.12,14.63,off,off,-11.11,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.89,68.98,1.16,3.54,91,1790,0.00,7.9,0.00,0
0.138,-3.91,-3.12,14.66,off,off,-11.11,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.90,69.02,1.20,3.54,91,1791,0.00,7.5,0.00,0
0.219,-3.91,-3.12,14.70,off,off,-11.09,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.91,69.02,1.20,3.56,91,1795,0.00,7.9,0.00,0
0.293,-3.91,-3.12,14.69,off,off,-11.05,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.92,69.07,1.22,3.60,91,1796,0.00,7.5,0.00,0
0.384,-3.12,-3.12,14.71,off,off,-11.06,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.90,69.08,1.14,3.59,91,1798,0.00,7.5,0.00,0
0.439,-3.12,-3.12,14.73,off,off,-11.07,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.89,69.06,1.18,3.58,91,1796,0.00,7.5,0.00,0
0.524,-3.12,-3.12,14.73,off,off,-11.07,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.89,69.05,1.20,3.58,91,1793,0.00,7.5,0.00,0
0.558,-3.12,-3.12,14.73,off,off,-11.10,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.88,69.00,1.16,3.54,91,1792,0.00,7.5,0.00,0
0.640,-3.12,-3.12,14.74,off,off,-11.08,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.87,69.01,1.22,3.57,91,1790,0.00,7.5,0.00,0
0.720,-3.12,-3.12,14.73,off,off,-11.08,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.89,69.01,1.22,3.56,91,1790,0.00,7.9,0.00,0
0.784,-3.12,-3.12,14.73,off,off,-11.07,14.66,0.22,on,14.76,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.90,69.04,1.18,3.58,91,1791,0.00,7.9,0.00,0
0.840,-3.12,-3.12,14.75,off,off,-11.08,14.66,0.22,on,14.82,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.76,77,88,6.91,69.02,1.18,3.57,91,1791,0.00,7.9,0.00,0
0.897,-3.12,-3.12,14.75,off,off,-11.03,14.66,0.22,on,14.82,100,1.000,0.00,0.00,0.00,1.0,0,22.00,0.77,77,88,6.93,69.08,1.20,3.62,91,1792,0.00,7.5,0.00,0
