Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: Stage1+BigSF 91 v350 HWG.ptm - Realtime: Stage1+BigSF 91 v350 HWG.ptm]
0.000,0.00,-4.69,22.20,off,off,-11.88,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,0.00,0.70,88,126,3.67,66.81,0.96,2.77,177,1627,3.16,4.7,0.00,0
0.004,0.00,-4.69,22.20,off,off,-11.96,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,1.50,0.69,88,126,3.62,66.67,0.94,2.69,177,1611,3.16,4.7,0.00,0
0.012,0.00,-4.69,22.20,off,off,-11.95,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,4.50,0.68,88,126,3.56,66.50,0.92,2.70,177,1592,3.16,4.7,0.00,0
0.015,0.00,-4.69,22.20,off,off,-12.04,14.23,0.13,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,8.00,0.67,88,126,3.55,66.26,0.90,2.61,177,1566,15.16,5.5,0.00,0
0.028,0.00,-4.69,22.20,off,off,-11.92,14.23,0.14,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,9.50,0.67,88,126,3.74,66.22,1.04,2.73,177,1563,15.46,5.5,0.00,0
0.082,0.00,-4.69,22.20,off,off,-11.85,14.23,0.14,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,10.00,0.67,88,126,3.88,66.22,1.04,2.80,177,1563,16.31,5.5,0.00,0
0.189,0.00,-4.69,22.20,off,off,-11.79,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,11.50,0.66,88,126,4.05,66.13,1.04,2.86,177,1553,19.74,5.9,0.00,0
0.225,0.00,-4.69,22.20,off,off,-11.71,14.23,0.16,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,13.00,0.66,88,126,4.23,66.07,1.04,2.94,177,1538,23.30,6.3,0.00,0
0.296,0.00,-4.69,22.20,off,off,-11.56,14.23,0.17,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,14.50,0.65,88,126,4.48,66.20,1.12,3.09,177,1526,28.61,6.7,0.00,0
0.364,0.00,-4.69,22.20,off,off,-11.38,14.23,0.18,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,15.50,0.97,88,126,4.82,66.57,1.16,3.27,177,1515,29.85,7.1,0.00,0
0.469,0.00,-4.69,22.20,off,off,-11.15,14.23,0.19,off,13.63,180,1.000,0.00,0.00,0.00,1.0,1,17.00,0.97,88,126,5.20,66.95,1.16,3.50,177,1512,30.27,7.1,0.00,0
0.494,0.00,-4.69,22.20,off,off,-11.00,14.23,0.21,off,13.54,180,1.000,0.00,0.00,0.00,1.0,1,18.50,0.97,88,126,5.49,67.48,1.14,3.64,177,1523,30.26,7.1,0.00,0
0.567,0.00,-4.69,22.20,off,off,-10.92,14.23,0.22,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,19.50,0.98,88,126,5.79,67.81,1.14,3.73,177,1537,31.48,7.1,0.00,0
0.631,0.00,-4.69,22.20,off,off,-10.83,14.23,0.22,off,13.39,180,1.000,0.00,0.00,0.00,1.0,1,9.00,0.98,88,126,5.96,68.01,1.14,3.82,177,1538,31.08,7.1,0.00,0
0.699,0.00,-4.69,22.20,off,off,-10.77,14.23,0.23,off,13.30,180,1.000,0.00,0.00,0.00,1.0,1,9.00,1.31,88,126,6.09,68.16,1.16,3.88,177,1540,31.08,7.1,0.00,0
0.755,0.00,-4.69,22.20,off,off,-10.75,14.23,0.23,off,13.30,180,1.000,0.00,0.00,0.00,1.0,1,21.00,1.32,88,126,6.23,68.28,1.14,3.90,177,1546,31.08,7.1,0.00,0
