Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Aggr Start 1 Active (on/off),Aggr Start 2 Active (on/off),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (�),Feedback Knock (�),Fine Knock Learn (�),Fuel Mode (mode),Gear Position (Gear),Ignition Timing (�),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr (g/s),MAF VE (%),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Throttle Pos (%),Wastegate Duty (%), AP Info:[AP3-SUB-004 v1.7.4.0-17408][2018 USDM WRX MT COBB Custom Features Gen1][Reflash: advanced_timing.ptm - Realtime: advanced_timing.ptm]
0.000,-17.97,0.00,14.16,off,off,-12.10,14.62,0.16,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.50,1.20,50,57,7.63,68.82,1.20,2.55,139,2809,22.61,8.3,0.00,0
0.013,-17.97,0.00,14.24,off,off,-12.11,14.62,0.17,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.00,1.20,50,57,7.88,68.82,1.24,2.53,139,2805,24.15,8.7,0.00,0
0.017,-17.97,0.00,14.28,off,off,-11.93,14.62,0.17,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.00,1.19,50,57,8.22,68.82,1.32,2.72,139,2801,26.46,9.1,0.00,0
0.055,-17.97,0.00,14.34,off,off,-11.92,14.62,0.18,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.00,1.19,50,57,8.64,68.82,1.30,2.73,139,2808,27.86,9.1,0.00,0
0.115,-17.97,0.00,14.41,off,off,-11.74,14.62,0.18,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.00,1.20,50,57,9.02,68.82,1.34,2.91,139,2815,27.04,9.1,0.00,0
0.175,-17.97,0.00,14.45,off,off,-11.71,14.62,0.19,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,24.00,1.20,50,57,9.19,68.89,1.32,2.94,139,2810,27.84,9.1,0.00,0
0.232,-17.97,0.00,14.53,off,off,-11.72,14.62,0.19,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,23.50,1.20,50,57,9.36,68.86,1.36,2.93,139,2802,29.46,9.4,0.00,0
0.289,-17.97,0.00,14.59,off,off,-11.52,14.62,0.19,on,14.87,151,1.000,0.00,0.00,0.00,1.0,3,23.50,1.20,50,57,9.67,69.12,1.36,3.13,139,2808,34.30,9.4,0.00,0
0.367,-17.19,0.00,14.66,off,off,-11.37,14.62,0.22,on,14.82,151,1.000,0.00,0.00,0.00,1.0,3,23.50,1.80,50,57,10.71,69.43,1.44,3.28,139,2820,47.69,11.0,0.00,0
0.427,-17.19,0.00,14.72,off,off,-10.85,14.62,0.26,on,14.53,151,1.000,0.00,0.00,0.00,1.0,3,23.00,1.80,50,57,12.37,70.29,1.56,3.80,139,2819,55.56,12.6,0.00,0
